Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Universiteti i Tiranës;University of Tirana;AL;university;27284;1110
Universiteti Politeknik i Tiranës;Polytechnic University of Tirana;AL;university;14117;232
Universiteti Bujqësor i Tiranës;Agricultural University of Tirana;AL;university;10465;262
"Universiteti i Elbasanit ""Aleksandër Xhuvani""";University of Elbasan, Aleksander Xhuvani;AL;university;12992;29
"Universiteti i Shkodrës ""Luigj Gurakuqi""";"University of Shkodra ""Luigj Gurakuqi""";AL;university;7915;12
"Universiteti ""Eqrem Çabej"", Gjirokastër";"University ""Eqrem Çabej"" Gjirokastra";AL;university;1616;a
"Universiteti ""Fan S. Noli"", Korçë";"""Fan. S. Noli"" University of Korçë";AL;university;4465;11
"Universiteti i Vlorës, ""Ismail Qemali""";"""Ismail Qemali"" University of Vlora";AL;university;8787;a
"Universiteti ""Aleksandër Moisiu"", Durrës";"""Aleksandër Moisiu"" University of Durrës";AL;university;15981;19
Universiteti i Arteve;University of Arts;AL;university;990;a
Universiteti i Sporteve të Tiranës;Sports University of Tirana;AL;university;1349;16
Universiteti i Mjekësisë, Tiranë;University of Medicine, Tirana;AL;university;7427;m
Universiteti i New York-ut në Tiranë;University of New York, Tirana;AL;university;706;m
"Universiteti ""Albanian University""";Albanian University;AL;university;6965;m
"Universiteti Katolik ""Zoja e Këshillit të Mirë""";Catholic University Lady of Good Counsel;AL;university;1980;m
Universiteti Europian i Tiranës;European University of Tirana;AL;university;4210;m
"Universiteti ""Aldent""";"""Aldent"" University";AL;university;1245;a
Universiteti Polis;Polis University;AL;university;673;m
"Universiteti ""EPOKA""";"""EPOKA"" University";AL;university;1555;m
"Universiteti ""Mesdhetar i Shqipërisë""";Mediterranean University of Albania;AL;university;1005;a
EPITECH ALBANIA;EPITECH ALBANIA;AL;university;m;a
"Shkolla e lartë universitare, jopublike, Universiteti ""Marin Barleti""";Marin Barleti University;AL;higher education institution;1139;m
"Shkolla e Larte ""Nehemia""";"HEI ""Nehemia""";AL;higher education institution;0;a
Universiteti Metropolitan Tirana;Metropolitan Tirana University;AL;university;729;a
Akademia e Forcave të Armatosura;Academy of Armed Forces;AL;academy;0;m
Akademia e Sigurisë;Security Academy;AL;academy;m;a
"Akademia e Filmit dhe Multimedias ""Marubi""";"Academy of Film & Multimedia ""Marubi""";AL;academy;15;a
"Kolegji Universitar ""Luarasi""";University College Luarasi;AL;college;595;a
"Kolegji Universitar ""Qiriazi""";"University College ""Qiriazi""";AL;university college;0;a
"Kolegji Universitar ""WISDOM""";University College WISDOM;AL;university college;322;a
Akademia IVODENT;IVODENT Academy;AL;college;16;a
"Kolegji Universitar ""Pavarësia Vlorë""";"University College ""Pavarësia Vlorë""";AL;university college;409;a
"Kolegji Universitar ""LOGOS""";LOGOS University College;AL;university college;352;a
Tirana Business University College;Tirana Business University College;AL;university college;465;a
"Kolegji Universitar ""Bedër""";"University College ""Bedër""";AL;university college;755;a
"Kolegji Universitar ""I Biznesit""";University College of Business;AL;university college;284;a
"Kolegji Universitar ""REALD""";"University College ""REALD""";AL;university college;337;a
"Kolegji Universitar ""Instituti Kanadez i Teknologjisë""";"University College ""Canadian Institute of Technology""";AL;university college;415;a
Kolegji Profesional i Tiranës;Professional College of Tirana;AL;higher vocational college;342;a
Qendra e Studimeve Albanologjike;Center of Albanological Studies;AL;academy;0;m
Universität Wien;University of Vienna;AT;Public university;74010,586923095;6873,710642549
Universität Graz;University of Graz;AT;Public university;23722,784468774;1509,844708995
Universität Innsbruck;University of Innsbruck;AT;Public university;23822,697242572;2334,814718615
Universität Salzburg;University of Salzburg;AT;Public university;14020,008047265;1206,492857143
Technische Universität Wien;Vienna University of Technology;AT;Public university;24471,963033391;2170,156613757
Technische Universität Graz;Graz University of Technology;AT;Public university;11528,092965368;1200,613227513
Montanuniversität Leoben;University of Mining Leoben;AT;Public university;3377,356349206;387,80952381
Universität für Bodenkultur Wien;University of Natural Resources and Life Sciences, Vienna;AT;Public university;10114,979274892;900,361279461
Veterinärmedizinische Universität Wien;University of Veterinary Medicine Vienna;AT;Public university;1724,702380952;295,166666667
