Institution Name;English Institution Name;Country Code;Institution Category - English;Name of the city;Geographic coordinates - latitude;Geographic coordinates - longitude;Total students enrolled ISCED 5-7
Universiteti i Tiranës;University of Tirana;AL;university;Tirana;41,318093;19,821796;27284
Universiteti Politeknik i Tiranës;Polytechnic University of Tirana;AL;university;Tirana;41,316598;19,82149;14117
Universiteti Bujqësor i Tiranës;Agricultural University of Tirana;AL;university;Tirana;41,363;19,769534;10465
"Universiteti i Elbasanit ""Aleksandër Xhuvani""";University of Elbasan, Aleksander Xhuvani;AL;university;Elbasan;41,122408;20,079552;12992
"Universiteti i Shkodrës ""Luigj Gurakuqi""";"University of Shkodra ""Luigj Gurakuqi""";AL;university;Shkodra;42,066249;19,510568;7915
"Universiteti ""Eqrem Çabej"", Gjirokastër";"University ""Eqrem Çabej"" Gjirokastra";AL;university;Gjirokastër;40,082184;20,13677;1616
"Universiteti ""Fan S. Noli"", Korçë";"""Fan. S. Noli"" University of Korçë";AL;university;Korçë;40,62756;20,785419;4465
"Universiteti i Vlorës, ""Ismail Qemali""";"""Ismail Qemali"" University of Vlora";AL;university;Vlorë;40,45284;19,48509;8787
"Universiteti ""Aleksandër Moisiu"", Durrës";"""Aleksandër Moisiu"" University of Durrës";AL;university;Durrës;41,313409;19,434206;15981
Universiteti i Arteve;University of Arts;AL;university;Tirana;41,317824;19,820392;990
Universiteti i Sporteve të Tiranës;Sports University of Tirana;AL;university;Tirana;41,331152;19,804203;1349
Universiteti i Mjekësisë, Tiranë;University of Medicine, Tirana;AL;university;Tirana;41,34238;19,833288;7427
Universiteti i New York-ut në Tiranë;University of New York, Tirana;AL;university;Tirana;41,309459;19,801977;706
"Universiteti ""Albanian University""";Albanian University;AL;university;Tirana;41,330543;19,817346;6965
"Universiteti Katolik ""Zoja e Këshillit të Mirë""";Catholic University Lady of Good Counsel;AL;university;Tirana;41,33342;19,797407;1980
Universiteti Europian i Tiranës;European University of Tirana;AL;university;Tirana;41,321585;19,80265;4210
"Universiteti ""Aldent""";"""Aldent"" University";AL;university;Tirana;41,332737;19,822658;1245
Universiteti Polis;Polis University;AL;university;Tirana;41,35259;19,750404;673
"Universiteti ""EPOKA""";"""EPOKA"" University";AL;university;Tirana;41,405109;19,705795;1555
"Universiteti ""Mesdhetar i Shqipërisë""";Mediterranean University of Albania;AL;university;Tirana;41,321922;19,803298;1005
EPITECH ALBANIA;EPITECH ALBANIA;AL;university;Tirana;41,409713;19,707891;m
"Shkolla e lartë universitare, jopublike, Universiteti ""Marin Barleti""";Marin Barleti University;AL;higher education institution;Tirana;41,31308;19,814839;1139
"Shkolla e Larte ""Nehemia""";"HEI ""Nehemia""";AL;higher education institution;Pogradec;40,901156;20,657755;0
Universiteti Metropolitan Tirana;Metropolitan Tirana University;AL;university;Tirana;41,320147;19,829898;729
Akademia e Forcave të Armatosura;Academy of Armed Forces;AL;academy;Tirana;41,3275;19,81889;0
Akademia e Sigurisë;Security Academy;AL;academy;Tirana;41,19335;19,82003;m
"Akademia e Filmit dhe Multimedias ""Marubi""";"Academy of Film & Multimedia ""Marubi""";AL;academy;Tirana;41,346181;19,847277;15
"Kolegji Universitar ""Luarasi""";University College Luarasi;AL;college;Tirana;41,31916;19,82858;595
"Kolegji Universitar ""Qiriazi""";"University College ""Qiriazi""";AL;university college;Tirana;40,630457;20,769861;0
"Kolegji Universitar ""WISDOM""";University College WISDOM;AL;university college;Tirana;41,314957;19,806106;322
Akademia IVODENT;IVODENT Academy;AL;college;Tirana;41,332541;19,813906;16
"Kolegji Universitar ""Pavarësia Vlorë""";"University College ""Pavarësia Vlorë""";AL;university college;Vlorë;40,463915;19,489493;409
"Kolegji Universitar ""LOGOS""";LOGOS University College;AL;university college;Tirana;41,335519;19,797407;352
Tirana Business University College;Tirana Business University College;AL;university college;Tirana;41,3275;19,81889;465
"Kolegji Universitar ""Bedër""";"University College ""Bedër""";AL;university college;Tirana;40,619841;20,782374;755
"Kolegji Universitar ""I Biznesit""";University College of Business;AL;university college;Tirana;41,341757;19,788377;284
