uni1,uni2,weight
UNIVERSITA DEGLI STUDI DI PADOVA,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,294
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,283
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI FIRENZE,256
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,243
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI TORINO,239
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI FIRENZE,228
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI MILANO,222
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI FIRENZE,220
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI TORINO,214
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,201
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI MILANO,196
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI TORINO,189
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI MILANO,186
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI ROMA TRE,185
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,182
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI FIRENZE,182
UNIVERSITA DEGLI STUDI DI FIRENZE,UNIVERSITA DEGLI STUDI DI MILANO,177
UNIVERSITA DI PISA,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,173
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,171
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI MILANO,171
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI ROMA TRE,170
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI ROMA TRE,169
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI GENOVA,168
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI FIRENZE,164
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI SIENA,160
UNIVERSITA DEGLI STUDI DI TRENTO,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,160
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI GENOVA,159
UNIVERSITA CA FOSCARI VENEZIA,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,158
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DI PISA,157
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI PAVIA,156
POLITECNICO DI MILANO,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,154
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,152
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI GENOVA,151
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI FIRENZE,151
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI PERUGIA,150
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI PADOVA,148
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI ROMA TRE,148
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,147
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI SIENA,147
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI SALERNO,146
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,145
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI CAGLIARI,144
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI MILANO,144
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI PALERMO,143
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI SIENA,142
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,142
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA CATTOLICA DEL SACRO CUORE,142
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI MILANO,139
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI PADOVA,139
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI VERONA,139
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI PAVIA,138
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,137
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,137
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI TRIESTE,137
