id,country,Source
0,AZ,"""ADA"" UNIVERSITY"
1,KZ,"""FINANCIAL ACADEMY"""
2,DE,"""KATHOLISCHE STIFTUNGSHOCHSCHULE MÜNCHEN"" HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN DER KIRCHLICHEN STIFTUNG DES ÖFFENTLICHEN RECHTS ""KATHOLISCHE BILDUNGSSTÄTTEN FÜR SOZIALBERUFE IN BAYERN"""
3,UA,"""KROK"" UNIVERSITY"
4,AM,''FRENCH UNIVERSITY IN ARMENIA'' FOUNDATION
5,AM,<<HAYASTANI PETAKAN TNTESAGITAKAN HAMALSARAN> POAK GYUMRU MASNACHYUX>
6,FR,A.E.S.C.R.A.
7,RU,A.N. KOSYGIN RUSSIAN STATE UNIVERSITY (TECHNOLOGIES. DESIGN. ART)
8,DK,AALBORG UNIVERSITET
9,FI,AALTO KORKEAKOULUSAATIO SR
10,DK,AARHUS SCHOOL OF MARINE AND TECHNICAL ENGINEERING
11,DK,AARHUS UNIVERSITET
12,FI,AB YRKESHOGSKOLAN VID ABO AKADEMI
13,TR,ABDULLAH GUL UNIVERSITY
14,UK,ABERYSTWYTH UNIVERSITY
15,FI,ABO AKADEMI
16,KZ,ABYLAI KHAN KAZAKH ATYNDAGY HALYKARAIYK KARYNASTAR ZHANE ALEM TILDERIUNIVERSITESY
17,RO,ACADEMIA DE MUZICA GHEORGHE DIMA
18,RO,ACADEMIA DE POLITIE ALEXANDRU IOAN CUZA
19,RO,ACADEMIA DE STUDII ECONOMICE DIN BUCURESTI
20,RO,ACADEMIA FORTELOR AERIENE HENRI COANDA
21,RO,"ACADEMIA FORTELOR TERESTRE ""NICOLAE BALCESCU"""
22,RO,"ACADEMIA NAVALA ""MIRCEA CEL BATRAN"""
23,BE,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES ECOLE SUPERIEURE DES ARTS
24,MD,ACADEMY OF ECONOMIC STUDIES OF MOLDOVA
25,MD,"ACADEMY OF MUSIC, THEATRE AND FINE ARTS"
26,BG,ACADEMY OF THE MINISTRY OF INTERIOR BULGARIA
27,FR,ACADÉMIE CHARPENTIER
28,LB,ACADÉMIE LIBANAISE DES BEAUX-ARTS - UNIVERSITÉ DE BALAMAND
